seed,domain,method,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg,overlap,budget_cost,budget_realized_delta_q,budget_ose
44,tum_fr1_desk_val,oracle,0.4,0.36898475885391235,0.36898475885391235,0.9999999728986103,0.9990971618944713,1.0,1133.3050937652588,0.3617803752422333,0.9999999723589216
44,tum_fr1_desk_val,oracle,0.6,0.527738630771637,0.527738630771637,0.9999999810512263,0.9991801100569988,1.0,1718.6257667541504,0.531155526638031,0.9999999811731228
44,tum_fr1_desk_val,oracle,0.8,0.5601627826690674,0.5601627826690674,0.9999999821480466,0.9992350543942431,1.0,2288.805564880371,0.562442421913147,0.9999999822204025
44,tum_fr2_xyz,random,0.1,0.026382802054286003,0.10548802465200424,0.25010231863092863,0.1713413913425679,0.0,250.92313385009766,0.026382803916931152,0.4356428151648899
44,tum_fr2_xyz,random,0.2,0.051307301968336105,0.17258165776729584,0.29729288534583753,0.20751170479611017,0.0,512.2076072692871,0.051307301968336105,0.2828124738871907
44,tum_fr2_xyz,random,0.4,0.11350960284471512,0.302217960357666,0.3755885287376521,0.3219519845292756,0.25,1038.7055683135986,0.11350959539413452,0.3651890586298658
44,tum_fr2_xyz,random,0.6,0.2524595856666565,0.39707791805267334,0.635793550411513,0.4635550092403524,0.5833333333333334,1567.3893756866455,0.2659607529640198,0.6504469286579817
44,tum_fr2_xyz,random,0.8,0.3784908950328827,0.4344448447227478,0.871205841013876,0.5841837112009877,0.8125,2092.9705905914307,0.34751835465431213,0.7904383117268392
44,tum_fr2_xyz,error_only,0.1,0.019471945241093636,0.10548802465200424,0.18458913662890652,0.24800478062105988,0.0,234.6140022277832,0.04362928867340088,0.7204232802990439
44,tum_fr2_xyz,error_only,0.2,0.07043065875768661,0.17258165776729584,0.4081004643706033,0.4141967350558216,0.375,507.5234565734863,0.07926706969738007,0.43693032412305255
44,tum_fr2_xyz,error_only,0.4,0.1431400030851364,0.302217960357666,0.4736316735756463,0.5264594081803079,0.5625,1043.1356239318848,0.14313998818397522,0.4605175214984264
44,tum_fr2_xyz,error_only,0.6,0.2025032639503479,0.39707791805267334,0.5099836824057502,0.551896955825583,0.5833333333333334,1557.432632446289,0.2025032937526703,0.495252190395057
44,tum_fr2_xyz,error_only,0.8,0.31667450070381165,0.4344448447227478,0.7289175996937647,0.6375167332232968,0.78125,2066.166919708252,0.31667450070381165,0.7202832723821273
44,tum_fr2_xyz,heuristic,0.1,0.015626659616827965,0.10548802465200424,0.14813679739487937,0.30465456060941265,0.0,260.08396911621094,0.04010118916630745,0.6621659697307127
44,tum_fr2_xyz,heuristic,0.2,0.04556719958782196,0.17258165776729584,0.264032676108238,0.42063997935855285,0.25,519.7121162414551,0.07923812419176102,0.4367707727582762
44,tum_fr2_xyz,heuristic,0.4,0.15289218723773956,0.302217960357666,0.505900383940757,0.49695712714209567,0.5,1042.1665306091309,0.1576230376958847,0.5071131524578973
44,tum_fr2_xyz,heuristic,0.6,0.24387945234775543,0.39707791805267334,0.6141853654363892,0.6393628672017538,0.6666666666666666,1556.7388362884521,0.2818624973297119,0.6893370305534599
44,tum_fr2_xyz,heuristic,0.8,0.3132847547531128,0.4344448447227478,0.7211151227767297,0.6653921654429508,0.8125,2075.9229526519775,0.3325851261615753,0.7564723477415077
44,tum_fr2_xyz,learned,0.1,0.0486934557557106,0.10548802465200424,0.4616016964990014,0.6531141942295541,0.25,250.04686737060547,0.030884012579917908,0.509968471367403
44,tum_fr2_xyz,learned,0.2,0.07348676770925522,0.17258165776729584,0.4258086543023948,0.5799235114985036,0.25,495.7513084411621,0.0593787357211113,0.3273032590165213
44,tum_fr2_xyz,learned,0.4,0.11045961081981659,0.302217960357666,0.3654965013797522,0.5876158427890379,0.375,1043.5193710327148,0.11045961081981659,0.35537648735196364
