seed,domain,method,budget_fraction,regret,oracle_delta_q,realized_delta_q,budget_regret
45,tum_fr1_desk_val,heuristic,0.8,0.07273221015930176,1.098691701889038,1.0259594917297363,0.06399238109588623
45,tum_fr1_desk_val,learned,0.1,0.19265331327915192,0.4239445924758911,0.2312912791967392,0.20198874175548553
45,tum_fr1_desk_val,learned,0.2,0.2925266921520233,0.5745325684547424,0.2820058763027191,0.31852608919143677
45,tum_fr1_desk_val,learned,0.4,0.4737287759780884,0.8934377431869507,0.4197089672088623,0.4739135205745697
45,tum_fr1_desk_val,learned,0.6,0.505024790763855,1.0196146965026855,0.5145899057388306,0.5229474902153015
45,tum_fr1_desk_val,learned,0.8,0.435036301612854,1.098691701889038,0.6636554002761841,0.5860261917114258
45,tum_fr1_desk_val,oracle,0.1,0.0,0.4239445924758911,0.4239445924758911,0.17037221789360046
45,tum_fr1_desk_val,oracle,0.2,0.0,0.5745325684547424,0.5745325684547424,0.015724897384643555
45,tum_fr1_desk_val,oracle,0.4,0.0,0.8934377431869507,0.8934377431869507,-0.018566548824310303
45,tum_fr1_desk_val,oracle,0.6,0.0,1.0196146965026855,1.0196146965026855,0.0
45,tum_fr1_desk_val,oracle,0.8,0.0,1.098691701889038,1.098691701889038,-0.001677870750427246
45,tum_fr2_xyz,random,0.1,0.06442863121628761,0.07897429913282394,0.014545667916536331,0.018311649560928345
45,tum_fr2_xyz,random,0.2,0.14155661314725876,0.17051835358142853,0.02896174043416977,0.15444552525877953
45,tum_fr2_xyz,random,0.4,0.2858780771493912,0.4226343035697937,0.13675622642040253,0.2956114411354065
45,tum_fr2_xyz,random,0.6,0.1318747103214264,0.483527272939682,0.3516525626182556,0.0841694176197052
45,tum_fr2_xyz,random,0.8,0.08834773302078247,0.5111280679702759,0.4227803349494934,0.08608156442642212
45,tum_fr2_xyz,error_only,0.1,0.07842482253909111,0.07897429913282394,0.0005494765937328339,0.05118347145617008
45,tum_fr2_xyz,error_only,0.2,0.11838876828551292,0.17051835358142853,0.052129585295915604,0.12541696801781654
45,tum_fr2_xyz,error_only,0.4,0.31845419108867645,0.4226343035697937,0.10418011248111725,0.3172309398651123
45,tum_fr2_xyz,error_only,0.6,0.3415979743003845,0.483527272939682,0.14192929863929749,0.3015085309743881
45,tum_fr2_xyz,error_only,0.8,0.11829441785812378,0.5111280679702759,0.3928336501121521,0.1197827160358429
45,tum_fr2_xyz,heuristic,0.1,0.03332836180925369,0.07897429913282394,0.04564593732357025,0.02987285703420639
45,tum_fr2_xyz,heuristic,0.2,0.05992185324430466,0.17051835358142853,0.11059650033712387,0.0321195125579834
45,tum_fr2_xyz,heuristic,0.4,0.2950308471918106,0.4226343035697937,0.1276034563779831,0.2829456478357315
45,tum_fr2_xyz,heuristic,0.6,0.10967779159545898,0.483527272939682,0.373849481344223,0.10762235522270203
45,tum_fr2_xyz,heuristic,0.8,0.07381463050842285,0.5111280679702759,0.437313437461853,0.07045850157737732
