experiment,variant,beta,seed,domain,budget_fraction,realized_delta_q,oracle_delta_q,ose,ndcg
ablation,B0,,45,tum_fr1_desk_val,0.4,0.40993282198905945,0.8934377431869507,0.45882639336294256,0.3661499605945405
ablation,B0,,45,tum_fr1_desk_val,0.6,0.584175705909729,1.0196146965026855,0.5729377010591308,0.4194224819464724
ablation,B0,,45,tum_fr1_desk_val,0.8,0.7868291735649109,1.098691701889038,0.7161510049184538,0.4816534545268158
ablation,B0,,45,tum_fr2_xyz,0.1,0.067080557346344,0.07897429913282394,0.8493972037605763,0.8016472515394577
ablation,B0,,45,tum_fr2_xyz,0.2,0.10885612666606903,0.17670920491218567,0.6160183933823954,0.7982894802512757
ablation,B0,,45,tum_fr2_xyz,0.4,0.13296814262866974,0.404036283493042,0.32909950113419606,0.8451522379987422
ablation,B0,,45,tum_fr2_xyz,0.6,0.21930065751075745,0.483527272939682,0.4535435026075132,0.8628964680633647
ablation,B0,,45,tum_fr2_xyz,0.8,0.2605910003185272,0.5111280679702759,0.5098350326465172,0.8782326674791466
ablation,B0,,46,tum_fr1_desk_val,0.1,0.028929123654961586,0.2551996409893036,0.11335879004072039,0.07871398267840893
ablation,B0,,46,tum_fr1_desk_val,0.2,0.05868542939424515,0.33358636498451233,0.175922740840269,0.13086360687673132
ablation,B0,,46,tum_fr1_desk_val,0.4,0.23934389650821686,0.5427982211112976,0.44094450348188546,0.29603028766045836
ablation,B0,,46,tum_fr1_desk_val,0.6,0.3744621276855469,0.6048338413238525,0.6191156908065396,0.37444650764107884
ablation,B0,,46,tum_fr1_desk_val,0.8,0.5084900259971619,0.6498000621795654,0.782533040188161,0.4213228705946023
ablation,B0,,46,tum_fr2_xyz,0.1,0.028163358569145203,0.06018306314945221,0.4679614565246166,0.32521362284317923
ablation,B0,,46,tum_fr2_xyz,0.2,0.047041866928339005,0.09243206679821014,0.5089344365921455,0.37275618576387654
ablation,B0,,46,tum_fr2_xyz,0.4,0.07365821301937103,0.17216911911964417,0.42782474068382087,0.39930463313648856
ablation,B0,,46,tum_fr2_xyz,0.6,0.14152756333351135,0.23603671789169312,0.5995997512660494,0.4594710094035349
ablation,B0,,46,tum_fr2_xyz,0.8,0.14782525599002838,0.2549758553504944,0.5797617581837604,0.5073425057884299
